Simbolo;Nombre;Sector;Industria
AMAT;Applied Materials, Inc.;Bienes de capital;Maquinaria industrial/Componentes
C;Citigroup, Inc.;Finanzas;Grandes bancos
AMT;American Tower Corporation;Finanzas;#N/D
HDB;HDFC Bank Limited;Finanzas;Bancos comerciales
BLK;BlackRock, Inc.;Finanzas;Banqueros/corredores/servicios de inversion
EQNR;Equinor ASA;Energia;Compañias petroleras integradas
GSK;GlaxoSmithKline PLC;Sanidad;Biotecnologia Preparados Farmaceuticos
BA;Boeing Company;Bienes de capital;Aeroespacial
NOW;ServiceNow, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
GE;General Electric Company;Bienes de consumo duraderos;Fabricacion de metales
INFY;Infosys Limited American Depositary Shares;Tecnologia;Servicios EDP
ISRG;Intuitive Surgical, Inc.;Sanidad;Instrumentos medicos/odontologicos
BUD;Anheuser-Busch Inbev SA Sponsored ADR;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
TGT;Target Corporation;Servicios al consumidor;Grandes almacenes/tiendas especializadas
SBUX;Starbucks Corporation;NO APLICABLE;NO DISPONIBLE
EL;Estee Lauder Companies, Inc.;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
SYK;Stryker Corporation;Sanidad;Instrumentos medicos/odontologicos
VALE;VALE S.A. American Depositary Shares Each Representing one common share;Industrias basicas;Acero/Minerales de hierro
BP;BP p.l.c.;Energia;Compañias petroleras integradas
MO;Altria Group, Inc.;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
BTI;British American Tobacco Industries, p.l.c. ADR;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
PTR;PetroChina Company Limited;Energia;Produccion de petroleo y gas
ENB;Enbridge Inc;Energia;Produccion de petroleo y gas
PBR;Petroleo Brasileiro S.A.- Petrobras;Energia;Produccion de petroleo y gas
CNI;Canadian National Railway Company;NO APLICABLE;NO DISPONIBLE
ZTS;Zoetis Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ADP;Automatic Data Processing, Inc.;Varios;Servicios a empresas
BNS;Bank Nova Scotia Halifax Pfd 3 Ordinary Shares;NO APLICABLE;NO DISPONIBLE
ABNB;Airbnb, Inc.;Transporte;Otros servicios al consumidor
CB;Chubb Limited;Finanzas;Aseguradoras de Daños
BAM;Brookfield Asset Management Inc.;Varios;Otros servicios al consumidor
BKNG;Booking Holdings Inc.;Transporte;Otros servicios al consumidor
MDLZ;Mondelez International, Inc.;Bienes de consumo no duraderos;Carne/Aves/Pescado
DUK;Duke Energy Corporation;Servicios publicos;Generacion de energia
MU;Micron Technology, Inc.;Tecnologia;Semiconductores
BX;Blackstone Inc.;Finanzas;Gestores de inversiones
CME;CME Group Inc.;Finanzas;Banqueros/corredores/servicios de inversion
HCA;HCA Healthcare, Inc.;Sanidad;Gestion de hospitales/enfermeria
MMM;3M Company;NO APLICABLE;NO DISPONIBLE
DELL;Dell Technologies Inc.;Tecnologia;Fabricacion de ordenadores
USB;U.S. Bancorp;Finanzas;Grandes bancos
ADI;Analog Devices, Inc.;Tecnologia;Semiconductores
MUFG;Mitsubishi UFJ Financial Group, Inc.;Finanzas;Bancos comerciales
PNC;PNC Financial Services Group, Inc.;Finanzas;Grandes bancos
CSX;CSX Corporation;Transporte;Ferrocarriles
TFC;Truist Financial Corporation;Finanzas;Grandes bancos
MMC;Marsh & McLennan Companies, Inc.;Finanzas;Aseguradoras especializadas
CCI;Crown Castle International Corp.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
BMO;Bank Of Montreal;NO APLICABLE;NO DISPONIBLE
JD;JD.com, Inc. American Depositary Shares;Varios;Servicios comerciales diversificados
TJX;TJX Companies, Inc.;Servicios al consumidor;Grandes almacenes/tiendas especializadas
SO;Southern Company;Servicios publicos;Generacion de energia
CI;Cigna Corporation;Sanidad;Especialidades medicas
GILD;Gilead Sciences, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
BDX;Becton, Dickinson and Company;Sanidad;Instrumentos medicos/odontologicos
CP;Canadian Pacific Railway Limited;NO APLICABLE;NO DISPONIBLE
ICE;Intercontinental Exchange Inc.;Finanzas;Banqueros/corredores/servicios de inversion
CNQ;Canadian Natural Resources Limited;NO APLICABLE;NO DISPONIBLE
REGN;Regeneron Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SHOP;Shopify Inc. Subordinate Voting Shares;NO APLICABLE;NO DISPONIBLE
EOG;EOG Resources, Inc.;Energia;Produccion de petroleo y gas
FCX;Freeport-McMoRan, Inc.;Industrias basicas;Metales preciosos
NOC;Northrop Grumman Corporation;Varios;Fabricacion diversificada
LRCX;Lam Research Corporation;Tecnologia;Maquinaria industrial/Componentes
D;Dominion Energy, Inc.;Servicios publicos;Compañias electricas: Central
EW;Edwards Lifesciences Corporation;Sanidad;Especialidades industriales
F;Ford Motor Company;Bienes de capital;Fabricacion de automoviles
PSA;Public Storage;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
NSC;Norfolk Southern Corporation;Transporte;Ferrocarriles
ITW;Illinois Tool Works Inc.;Bienes de capital;Maquinaria industrial/Componentes
AON;Aon plc Ordinary Shares;Finanzas;Aseguradoras especializadas
EQIX;Equinix, Inc. REIT;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
WM;Waste Management, Inc.;Servicios publicos;Servicios medioambientales
ATVI;Activision Blizzard, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
TEAM;Atlassian Corporation Plc Ordinary Shares;Tecnologia;Programas informaticos: Software preempaquetado
CL;Colgate-Palmolive Company;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
PGR;Progressive Corporation;Finanzas;Aseguradoras de Daños
FISV;Fiserv, Inc.;Tecnologia;Servicios EDP
IBN;ICICI Bank Limited;Finanzas;Bancos comerciales
NEM;Newmont Corporation;Industrias basicas;Metales preciosos
AMX;America Movil, S.A.B. de C.V. American Depository Receipt Series L;Servicios publicos;Equipos de telecomunicaciones
SHW;Sherwin-Williams Company;Industrias basicas;Pinturas/Cubrimientos
SLB;Schlumberger N.V.;Energia;Servicios/equipos petroliferos
AMOV;America Movil, S.A.B. de C.V. American Depositary Shares;Servicios publicos;Equipos de telecomunicaciones
GM;General Motors Company;Bienes de capital;Fabricacion de automoviles
VRTX;Vertex Pharmaceuticals Incorporated;Sanidad;Biotecnologia Preparados Farmaceuticos
UBER;Uber Technologies, Inc.;Tecnologia;Servicios EDP
BSX;Boston Scientific Corporation;Sanidad;Instrumentos medicos/odontologicos
SQ;Block, Inc.,;Tecnologia;Programas informaticos: Software preempaquetado
ETN;Eaton Corporation, PLC Ordinary Shares;Bienes de capital;Maquinaria industrial/Componentes
SCCO;Southern Copper Corporation;Industrias basicas;Metales preciosos
FDX;FedEx Corporation;Transporte;Servicios de transporte aereo
PXD;Pioneer Natural Resources Company;Energia;Produccion de petroleo y gas
UBS;UBS Group AG Registered Ordinary Shares;Finanzas;Grandes bancos
WDAY;Workday, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
MCO;Moody's Corporation;Tecnologia;Publicidad
CM;Canadian Imperial Bank of Commerce;NO APLICABLE;NO DISPONIBLE
NTR;Nutrien Ltd. Common Shares;Bienes de capital;Aeroespacial
MRNA;Moderna, Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
SNOW;Snowflake Inc.;Tecnologia;Programas informaticos: Software preempaquetado
EMR;Emerson Electric Company;Bienes de capital;Maquinaria industrial/Componentes
EPD;Enterprise Products Partners L.P.;Servicios publicos;Distribucion de gas natural
FIS;Fidelity National Information Services, Inc.;Varios;Servicios a empresas
OXY;Occidental Petroleum Corporation;Energia;Produccion de petroleo y gas
HUM;Humana Inc.;Sanidad;Especialidades medicas
COF;Capital One Financial Corporation;Finanzas;Empresas financieras
PANW;Palo Alto Networks, Inc.;Tecnologia;Servicios EDP
TRP;TC Energy Corporation;NO APLICABLE;NO DISPONIBLE
SNP;China Petroleum & Chemical Corporation;Energia;Compañias petroleras integradas
MRVL;Marvell Technology, Inc.;Tecnologia;Semiconductores
NGG;National Grid Transco, PLC National Grid PLC;Servicios publicos;Distribucion de gas natural
MET;MetLife, Inc.;Finanzas;Seguros de vida
RELX;RELX PLC PLC American Depositary Shares;Servicios al consumidor;Editorial
MAR;Marriott International;Servicios al consumidor;Hoteles/Restaurantes
KDP;Keurig Dr Pepper Inc.;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
SAN;Banco Santander, S.A. Sponsored ADR;Finanzas;Bancos comerciales
SE;Sea Limited American Depositary Shares, each representing one Ordinary Share;Tecnologia;Programas informaticos: Software preempaquetado
E;ENI S.p.A.;Energia;Produccion de petroleo y gas
TRI;Thomson Reuters Corp Ordinary Shares;NO APLICABLE;NO DISPONIBLE
BCE;BCE, Inc.;NO APLICABLE;NO DISPONIBLE
AIG;American International Group, Inc. New;Finanzas;Seguros de vida
SNAP;Snap Inc.;Tecnologia;Servicios de Internet e informacion
KLAC;KLA Corporation;Bienes de capital;Componentes electronicos
SRE;DBA Sempra;Servicios publicos;Transmision de petroleo/gas
APD;Air Products and Chemicals, Inc.;Industrias basicas;Especialidades quimicas
CNC;Centene Corporation;Sanidad;Especialidades medicas
LHX;L3Harris Technologies, Inc.;Bienes de capital;Maquinaria industrial/Componentes
AEP;American Electric Power Company, Inc.;Servicios publicos;Compañias electricas: Central
ILMN;Illumina, Inc.;Sanidad;Especialidades medicas
DG;Dollar General Corporation;Servicios al consumidor;Grandes almacenes/tiendas especializadas
BSBR;Banco Santander Brasil SA American Depositary Shares, each representing one unit;Finanzas;Bancos comerciales
ITUB;Itau Unibanco Banco Holding SA American Depositary Shares;Finanzas;Bancos comerciales
ADM;Archer-Daniels-Midland Company;NO APLICABLE;NO DISPONIBLE
NXPI;NXP Semiconductors N.V.;Tecnologia;Semiconductores
VMW;Vmware, Inc.,;Tecnologia;Programas informaticos: Software preempaquetado
CTSH;Cognizant Technology Solutions Corporation;Tecnologia;Servicios EDP
KHC;The Kraft Heinz Company;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
STLA;Stellantis N.V. Common Shares;Bienes de capital;Fabricacion de automoviles
ROP;Roper Technologies, Inc.;Bienes de capital;Equipos/suministros/servicios de oficina
ECL;Ecolab Inc.;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
SU;Suncor Energy Inc.;NO APLICABLE;NO DISPONIBLE
HMC;Honda Motor Company, Ltd.;Bienes de capital;Fabricacion de automoviles
TAK;Takeda Pharmaceutical Company Limited American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
SNPS;Synopsys, Inc.;Tecnologia;Servicios EDP
ORLY;O'Reilly Automotive, Inc.;Servicios al consumidor;Otras tiendas especializadas
MELI;MercadoLibre, Inc.;Servicios al consumidor;Distribucion por catalogo/especializada
FTNT;Fortinet, Inc.;Varios;Fabricacion diversificada
DOW;Dow Inc.;Industrias basicas;Especialidades industriales
LFC;China Life Insurance Company Limited American Depositary Shares;Finanzas;Seguros de vida
MPC;Marathon Petroleum Corporation;Energia;Compañias petroleras integradas
APH;Amphenol Corporation;Bienes de capital;Productos electricos
CRWD;CrowdStrike Holdings, Inc.;Tecnologia;Servicios EDP
PAYX;Paychex, Inc.;Varios;Servicios a empresas
GOLD;Barrick Gold Corporation;NO APLICABLE;NO DISPONIBLE
EXC;Exelon Corporation;Servicios publicos;Generacion de energia
SPG;Simon Property Group, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
JCI;Johnson Controls International plc Ordinary Share;Bienes de capital;Maquinaria industrial/Componentes
ADSK;Autodesk, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
VOD;Vodafone Group Plc American Depositary Shares;Servicios publicos;Equipos de telecomunicaciones
MCK;McKesson Corporation;Sanidad;Otros Farmaceuticos
HSY;The Hershey Company;Bienes de consumo no duraderos;Alimentacion especializada
IDXX;IDEXX Laboratories, Inc.;Sanidad;Biotecnologia Sustancias de diagnostico in vitro e in vivo
TRV;The Travelers Companies, Inc.;Finanzas;Aseguradoras de Daños
COIN;Coinbase Global, Inc.;Tecnologia;Servicios EDP
TEL;TE Connectivity Ltd. New Switzerland Registered Shares;Bienes de capital;Maquinaria industrial/Componentes
BIDU;Baidu, Inc. ADS;Tecnologia;#N/D
CMG;Chipotle Mexican Grill, Inc.;Servicios al consumidor;Restaurantes
WIT;Wipro Limited;Tecnologia;Servicios EDP
KMI;Kinder Morgan, Inc.;Servicios publicos;Distribucion de gas natural
WBA;Walgreens Boots Alliance, Inc.;Sanidad;Servicios medicos y de enfermeria
WELL;Welltower Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
LYG;Lloyds Banking Group Plc American Depositary Shares;Finanzas;Bancos comerciales
IQV;IQVIA Holdings, Inc.;Sanidad;Atencion sanitaria gestionada
KR;Kroger Company;Servicios al consumidor;Cadenas alimentarias
BK;The Bank of New York Mellon Corporation;Finanzas;Gestores de inversiones
PDD;Pinduoduo Inc. American Depositary Shares;Varios;Servicios a empresas
CDNS;Cadence Design Systems, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
RSG;Republic Services, Inc.;Servicios publicos;Servicios medioambientales
PRU;Prudential Financial, Inc.;Finanzas;Seguros de vida
DDOG;Datadog, Inc.;Tecnologia;Servicios EDP
STZ;Constellation Brands, Inc.;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
KMB;Kimberly-Clark Corporation;Industrias basicas;Papel
HLT;Hilton Worldwide Holdings Inc.;Servicios al consumidor;Hoteles/Restaurantes
SYY;Sysco Corporation;Bienes de consumo no duraderos;Distribuidores de alimentos
A;Agilent Technologies, Inc.;Bienes de capital;Productos electricos
BBD;Banco Bradesco Sa American Depositary Shares;Finanzas;Bancos comerciales
CTVA;Corteva, Inc.;Industrias basicas;Grandes empresas quimicas
AFL;AFLAC Incorporated;Finanzas;Seguros de accidente y salud
DVN;Devon Energy Corporation;Energia;Produccion de petroleo y gas
WMB;Williams Companies, Inc.;Servicios publicos;Distribucion de gas natural
MNST;Monster Beverage Corporation;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
O;Realty Income Corporation;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
BAX;Baxter International Inc.;Sanidad;Instrumentos medicos/odontologicos
DLR;Digital Realty Trust, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
MFC;Manulife Financial Corporation;Tecnologia;Publicidad
MCHP;Microchip Technology Incorporated;Tecnologia;Semiconductores
CTAS;Cintas Corporation;Varios;Servicios a empresas
XEL;Xcel Energy Inc.;Servicios publicos;Generacion de energia
HPQ;HP Inc.;Tecnologia;Fabricacion de ordenadores
PUK;Prudential Public Limited Company;Finanzas;Seguros de vida
LCID;Lucid Group, Inc.;Bienes de capital;Fabricacion de automoviles
DXCM;DexCom, Inc.;Sanidad;Especialidades medicas
LULU;lululemon athletica inc.;NO APLICABLE;NO DISPONIBLE
GIS;General Mills, Inc.;Servicios al consumidor;Cadenas alimentarias
WRB;W.R. Berkley Corporation;Finanzas;Aseguradoras de Daños
VLO;Valero Energy Corporation;Energia;Compañias petroleras integradas
MSI;Motorola Solutions, Inc.;Tecnologia;Equipos de radio y television y comunicaciones
AZO;AutoZone, Inc.;NO APLICABLE;NO DISPONIBLE
DD;DuPont de Nemours, Inc.;Bienes de capital;Distribuidores al por mayor
MSCI;MSCI Inc;Tecnologia;Publicidad
ANET;Arista Networks, Inc.;Tecnologia;Equipos perifericos de ordenador
CARR;Carrier Global Corporation;Bienes de capital;Distribuidores al por mayor
EC;Ecopetrol S.A. American Depositary Shares;Energia;Produccion de petroleo y gas
NUE;Nucor Corporation;Industrias basicas;Acero/Minerales de hierro
APO;Apollo Global Management, Inc.;Finanzas;Gestores de inversiones
BKR;Baker Hughes Company;Energia;Servicios/equipos petroliferos
TU;Telus Corporation Ordinary Shares;NO APLICABLE;NO DISPONIBLE
GPN;Global Payments Inc.;Varios;Servicios a empresas
ALC;Alcon Inc. Ordinary Shares;Sanidad;Productos oftalmicos
PSX;Phillips 66;Energia;Compañias petroleras integradas
BCS;Barclays PLC;Finanzas;Bancos comerciales
ODFL;Old Dominion Freight Line, Inc.;Transporte;Transporte de mercancias por carretera/Servicios de mensajeria
ING;ING Group, N.V.;Finanzas;Bancos comerciales
RACE;Ferrari N.V. Common Shares;Bienes de capital;Fabricacion de automoviles
BBVA;Banco Bilbao Vizcaya Argentaria S.A.;Finanzas;Bancos comerciales
PH;Parker-Hannifin Corporation;Bienes de capital;Equipos/suministros/servicios de oficina
RMD;ResMed Inc.;Sanidad;Instrumentos medicos/odontologicos
TT;Trane Technologies plc;Bienes de capital;Autopartes:O.E.M.
SBAC;SBA Communications Corporation;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
TDG;Transdigm Group Incorporated;Bienes de capital;Militar/Gubernamental/Tecnico
WCN;Waste Connections, Inc. Common Shares;Servicios publicos;Generacion de energia
EA;Electronic Arts Inc.;Tecnologia;Programas informaticos: Software preempaquetado
ALL;Allstate Corporation;Finanzas;Aseguradoras de Daños
RIVN;Rivian Automotive, Inc.;Bienes de capital;Fabricacion de automoviles
STM;STMicroelectronics N.V.;Tecnologia;Semiconductores
LYB;LyondellBasell Industries NV Ordinary Shares;Industrias basicas;Especialidades industriales
MPLX;MPLX LP Common Units Representing Limited Partner Interests;Energia;Produccion de petroleo y gas
CHT;Chunghwa Telecom Co., Ltd.;Servicios publicos;Equipos de telecomunicaciones
AVB;AvalonBay Communities, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
HAL;Halliburton Company;Energia;Produccion de petroleo y gas
YUM;Yum! Brands, Inc.;Servicios al consumidor;Restaurantes
DLTR;Dollar Tree Inc.;Servicios al consumidor;Grandes almacenes/tiendas especializadas
PEG;Public Service Enterprise Group Incorporated;Servicios publicos;Compañias electricas: Central
MFG;Mizuho Financial Group, Inc. Sponosred ADR;Finanzas;Grandes bancos
LNG;Cheniere Energy, Inc.;Servicios publicos;Transmision de petroleo/gas
BNTX;BioNTech SE American Depositary Share;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
EQR;Equity Residential Common Shares of Beneficial Interest;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
BBDO;Banco Bradesco Sa American Depositary Shares;Finanzas;Bancos comerciales
CVE;Cenovus Energy Inc;NO APLICABLE;NO DISPONIBLE
AJG;Arthur J. Gallagher & Co.;Finanzas;Aseguradoras especializadas
TLK;PT Telekomunikasi Indonesia, Tbk;Servicios publicos;Equipos de telecomunicaciones
TSN;Tyson Foods, Inc.;Bienes de consumo no duraderos;Carne/Aves/Pescado
CRH;CRH PLC American Depositary Shares;Bienes de capital;Materiales de construccion
ED;Consolidated Edison, Inc.;Servicios publicos;Generacion de energia
ALGN;Align Technology, Inc.;Sanidad;Especialidades industriales
FERG;Ferguson plc Ordinary Shares;Bienes de consumo duraderos;Maquinaria industrial/Componentes
SIVB;SVB Financial Group;Finanzas;Grandes bancos
ET;Energy Transfer LP Common Units;Servicios publicos;Distribucion de gas natural
TROW;T. Rowe Price Group, Inc.;Finanzas;Gestores de inversiones
GFS;GlobalFoundries Inc. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
FAST;Fastenal Company;NO APLICABLE;NO DISPONIBLE
SLF;Sun Life Financial Inc.;Tecnologia;Publicidad
ROST;Ross Stores, Inc.;Servicios al consumidor;Tiendas de ropa/calzado/accesorios
KKR;KKR & Co. Inc.;Finanzas;Gestores de inversiones
GLW;Corning Incorporated;Bienes de capital;Maquinaria industrial/Componentes
OTIS;Otis Worldwide Corporation;NO APLICABLE;NO DISPONIBLE
CPNG;Coupang, Inc.;Bienes de capital;Productos recreativos/Juguetes
NU;Nu Holdings Ltd. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
IMO;Imperial Oil Limited;NO APLICABLE;NO DISPONIBLE
ORAN;Orange;Servicios publicos;Equipos de telecomunicaciones
FNV;Franco-Nevada Corporation;NO APLICABLE;NO DISPONIBLE
ABC;AmerisourceBergen Corporation;Sanidad;Otros Farmaceuticos
NWG;NatWest Group plc American Depositary Shares;Finanzas;Bancos comerciales
FITB;Fifth Third Bancorp;Finanzas;Grandes bancos
ARE;Alexandria Real Estate Equities, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
AMP;Ameriprise Financial, Inc.;Finanzas;Gestores de inversiones
IFF;International Flavors & Fragrances, Inc.;Industrias basicas;Grandes empresas quimicas
STT;State Street Corporation;Finanzas;Gestores de inversiones
MTD;Mettler-Toledo International, Inc.;Sanidad;Especialidades medicas
ROK;Rockwell Automation, Inc.;Bienes de capital;Maquinaria industrial/Componentes
DFS;Discover Financial Services;Finanzas;Finanzas Servicios al consumidor
PCAR;PACCAR Inc.;Bienes de capital;Fabricacion de automoviles
